id,project_name,file_path,start_line,start_column,smell_identifier,commit,url,true_positive,remark
1,open-webrtc-toolkit/owt-server,source/data_access/interface/tokenInterface.js,58,3,queryingTooMuchData,c5229d643b7891a375405d8da1177abe0aa65037,https://github.com/open-webrtc-toolkit/owt-server/tree/c5229d643b7891a375405d8da1177abe0aa65037/source/data_access/interface/tokenInterface.js#L58,TRUE,no projection set but are they querying too much data?
2,open-webrtc-toolkit/owt-server,source/data_access/interface/tokenInterface.js,70,5,queryingTooMuchData,c5229d643b7891a375405d8da1177abe0aa65037,https://github.com/open-webrtc-toolkit/owt-server/tree/c5229d643b7891a375405d8da1177abe0aa65037/source/data_access/interface/tokenInterface.js#L70,TRUE,they don't use _id field
3,open-webrtc-toolkit/owt-server,source/data_access/interface/roomInterface.js,207,5,queryingTooMuchData,c5229d643b7891a375405d8da1177abe0aa65037,https://github.com/open-webrtc-toolkit/owt-server/tree/c5229d643b7891a375405d8da1177abe0aa65037/source/data_access/interface/roomInterface.js#L207,TRUE,
4,open-webrtc-toolkit/owt-server,source/data_access/interface/roomInterface.js,171,5,queryingTooMuchData,c5229d643b7891a375405d8da1177abe0aa65037,https://github.com/open-webrtc-toolkit/owt-server/tree/c5229d643b7891a375405d8da1177abe0aa65037/source/data_access/interface/roomInterface.js#L171,TRUE,no projection set but are they querying too much data?
5,open-webrtc-toolkit/owt-server,source/data_access/interface/roomInterface.js,223,5,queryingTooMuchData,c5229d643b7891a375405d8da1177abe0aa65037,https://github.com/open-webrtc-toolkit/owt-server/tree/c5229d643b7891a375405d8da1177abe0aa65037/source/data_access/interface/roomInterface.js#L223,TRUE,
6,processing/p5.js-web-editor,server/controllers/user.controller.js,335,3,queryingTooMuchData,a1a5efd44f64f4a449f07379098dcdfe049558eb,https://github.com/processing/p5.js-web-editor/tree/a1a5efd44f64f4a449f07379098dcdfe049558eb/server/controllers/user.controller.js#L335,FALSE,saving user
7,processing/p5.js-web-editor,server/scripts/examples.js,348,22,queryingTooMuchData,a1a5efd44f64f4a449f07379098dcdfe049558eb,https://github.com/processing/p5.js-web-editor/tree/a1a5efd44f64f4a449f07379098dcdfe049558eb/server/scripts/examples.js#L348,TRUE,
8,processing/p5.js-web-editor,server/controllers/file.controller.js,12,3,queryingTooMuchData,a1a5efd44f64f4a449f07379098dcdfe049558eb,https://github.com/processing/p5.js-web-editor/tree/a1a5efd44f64f4a449f07379098dcdfe049558eb/server/controllers/file.controller.js#L12,TRUE,
9,processing/p5.js-web-editor,server/controllers/collection.controller/addProjectToCollection.js,12,26,queryingTooMuchData,a1a5efd44f64f4a449f07379098dcdfe049558eb,https://github.com/processing/p5.js-web-editor/tree/a1a5efd44f64f4a449f07379098dcdfe049558eb/server/controllers/collection.controller/addProjectToCollection.js#L12,FALSE,whole dojcument is saved
10,processing/p5.js-web-editor,server/controllers/user.controller.js,418,3,queryingTooMuchData,a1a5efd44f64f4a449f07379098dcdfe049558eb,https://github.com/processing/p5.js-web-editor/tree/a1a5efd44f64f4a449f07379098dcdfe049558eb/server/controllers/user.controller.js#L418,FALSE,whole document is saed
11,nodemailer/wildduck,lib/tasks/audit.js,176,11,queryingTooMuchData,ea24b9328b6984db841de86309f1712f100acb97,https://github.com/nodemailer/wildduck/tree/ea24b9328b6984db841de86309f1712f100acb97/lib/tasks/audit.js#L176,FALSE,
12,nodemailer/wildduck,pop3.js,226,17,queryingTooMuchData,ea24b9328b6984db841de86309f1712f100acb97,https://github.com/nodemailer/wildduck/tree/ea24b9328b6984db841de86309f1712f100acb97/pop3.js#L226,TRUE,
13,nodemailer/wildduck,lib/tasks/quota.js,59,21,queryingTooMuchData,ea24b9328b6984db841de86309f1712f100acb97,https://github.com/nodemailer/wildduck/tree/ea24b9328b6984db841de86309f1712f100acb97/lib/tasks/quota.js#L59,FALSE,
14,nodemailer/wildduck,lib/prepare-search-filter.js,28,26,queryingTooMuchData,ea24b9328b6984db841de86309f1712f100acb97,https://github.com/nodemailer/wildduck/tree/ea24b9328b6984db841de86309f1712f100acb97/lib/prepare-search-filter.js#L28,TRUE,
15,nodemailer/wildduck,lib/message-handler.js,1615,25,queryingTooMuchData,ea24b9328b6984db841de86309f1712f100acb97,https://github.com/nodemailer/wildduck/tree/ea24b9328b6984db841de86309f1712f100acb97/lib/message-handler.js#L1615,FALSE,
16,nodemailer/wildduck,lib/message-handler.js,625,23,queryingTooMuchData,ea24b9328b6984db841de86309f1712f100acb97,https://github.com/nodemailer/wildduck/tree/ea24b9328b6984db841de86309f1712f100acb97/lib/message-handler.js#L625,FALSE,hard to know
17,nodemailer/wildduck,lib/user-handler.js,3490,32,queryingTooMuchData,ea24b9328b6984db841de86309f1712f100acb97,https://github.com/nodemailer/wildduck/tree/ea24b9328b6984db841de86309f1712f100acb97/lib/user-handler.js#L3490,FALSE,delete method
18,nodemailer/wildduck,lib/message-handler.js,1066,45,queryingTooMuchData,ea24b9328b6984db841de86309f1712f100acb97,https://github.com/nodemailer/wildduck/tree/ea24b9328b6984db841de86309f1712f100acb97/lib/message-handler.js#L1066,FALSE,
19,nodemailer/wildduck,indexer.js,313,45,queryingTooMuchData,ea24b9328b6984db841de86309f1712f100acb97,https://github.com/nodemailer/wildduck/tree/ea24b9328b6984db841de86309f1712f100acb97/indexer.js#L313,TRUE,
20,HabitRPG/habitica,migrations/archive/2019/20190716_groups_fix.js,64,25,queryingTooMuchData,aeef31d0d46bfd3ac207988ae71cb9b79e930ca7,https://github.com/HabitRPG/habitica/tree/aeef31d0d46bfd3ac207988ae71cb9b79e930ca7/migrations/archive/2019/20190716_groups_fix.js#L64,FALSE,users later all updated
21,HabitRPG/habitica,test/api/unit/models/group.test.js,1895,11,queryingTooMuchData,aeef31d0d46bfd3ac207988ae71cb9b79e930ca7,https://github.com/HabitRPG/habitica/tree/aeef31d0d46bfd3ac207988ae71cb9b79e930ca7/test/api/unit/models/group.test.js#L1895,TRUE,
22,HabitRPG/habitica,website/server/controllers/api-v3/hall.js,191,24,queryingTooMuchData,aeef31d0d46bfd3ac207988ae71cb9b79e930ca7,https://github.com/HabitRPG/habitica/tree/aeef31d0d46bfd3ac207988ae71cb9b79e930ca7/website/server/controllers/api-v3/hall.js#L191,TRUE,
23,HabitRPG/habitica,migrations/archive/2019/20190618_summer_splash_orcas.js,39,25,queryingTooMuchData,aeef31d0d46bfd3ac207988ae71cb9b79e930ca7,https://github.com/HabitRPG/habitica/tree/aeef31d0d46bfd3ac207988ae71cb9b79e930ca7/migrations/archive/2019/20190618_summer_splash_orcas.js#L39,FALSE,selects used
24,HabitRPG/habitica,test/api/unit/models/group.test.js,2083,52,queryingTooMuchData,aeef31d0d46bfd3ac207988ae71cb9b79e930ca7,https://github.com/HabitRPG/habitica/tree/aeef31d0d46bfd3ac207988ae71cb9b79e930ca7/test/api/unit/models/group.test.js#L2083,TRUE,
25,HabitRPG/habitica,website/server/controllers/api-v3/tasks/groups.js,349,7,queryingTooMuchData,aeef31d0d46bfd3ac207988ae71cb9b79e930ca7,https://github.com/HabitRPG/habitica/tree/aeef31d0d46bfd3ac207988ae71cb9b79e930ca7/website/server/controllers/api-v3/tasks/groups.js#L349,TRUE,
26,HabitRPG/habitica,website/server/controllers/api-v4/news.js,190,28,queryingTooMuchData,aeef31d0d46bfd3ac207988ae71cb9b79e930ca7,https://github.com/HabitRPG/habitica/tree/aeef31d0d46bfd3ac207988ae71cb9b79e930ca7/website/server/controllers/api-v4/news.js#L190,TRUE,
27,HabitRPG/habitica,test/api/unit/models/challenge.test.js,289,39,queryingTooMuchData,aeef31d0d46bfd3ac207988ae71cb9b79e930ca7,https://github.com/HabitRPG/habitica/tree/aeef31d0d46bfd3ac207988ae71cb9b79e930ca7/test/api/unit/models/challenge.test.js#L289,TRUE,
28,HabitRPG/habitica,website/server/models/group.js,1350,31,queryingTooMuchData,aeef31d0d46bfd3ac207988ae71cb9b79e930ca7,https://github.com/HabitRPG/habitica/tree/aeef31d0d46bfd3ac207988ae71cb9b79e930ca7/website/server/models/group.js#L1350,TRUE,
29,HabitRPG/habitica,test/api/unit/models/group.test.js,2033,52,queryingTooMuchData,aeef31d0d46bfd3ac207988ae71cb9b79e930ca7,https://github.com/HabitRPG/habitica/tree/aeef31d0d46bfd3ac207988ae71cb9b79e930ca7/test/api/unit/models/group.test.js#L2033,TRUE,
